序号,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
1,-2,-4.4,1024,67,0,1,277,227,254,104,43,16,4.8
2,-2.7,-5.4,1024,70,0,1,245,195,200,95,26,10,3.4
3,-3.3,-6.4,1024,72,0,1.2,240,190,203,94,25,11,3.7
4,-3.6,-6.6,1023,71,0,1.1,255,205,218,96,45,13,3.7
5,-3.8,-6.6,1022,68,0,1.3,249,199,202,93,47,15,3.2
6,-3.8,-6.7,1022,68,0,1.4,195,146,0,88,41,11,2.4
7,-3.9,-6.6,1021,68,0,1.1,145,111,0,82,34,9,2.3
8,-4.3,-7.1,1021,70,0,0.8,125,95,98,84,28,9,2.3
9,-4.7,-7.9,1021,73,0,0.8,142,108,111,85,29,9,2.6
10,-1.7,-3.8,1022,64,0,1,148,113,117,81,29,9,2.5
11,0.6,-0.2,1021,53,0,0.8,143,109,119,81,33,10,2.6
12,2,1.6,1020,47,0,1.1,128,97,106,72,30,11,2.1
13,2.9,2.8,1019,42,0,1.5,147,112,119,71,34,16,2
14,4.4,4.8,1017,40,0,0.8,192,144,0,76,44,21,2.2
15,5,5.6,1017,38,0,0.7,226,176,184,91,50,22,2.5
16,5.2,5.6,1017,38,0,1.1,250,200,201,108,48,19,2.8
17,3.7,3.4,1017,45,0,1.5,249,199,220,124,46,15,3.3
18,2,1,1018,53,0,1.3,258,208,223,132,46,12,3.4
19,0.1,-1.4,1018,61,0,0.8,278,228,249,137,48,10,3.8
20,-0.4,-2.3,1018,63,0,1,291,241,271,131,50,11,3.8
21,-1.4,-3.6,1018,69,0,0.5,323,273,299,136,46,12,4.1
22,-2.1,-4.9,1018,73,0,0.7,327,277,281,131,42,11,3.8
23,-2.5,-5.3,1018,73,0,0.7,342,292,0,129,43,11,4.1
24,-3.1,-6.2,1017,78,0,0.4,340,290,0,124,38,11,4.1
25,-3.6,-7.5,1018,81,0,1,347,297,0,122,28,11,4.5
26,-3.2,-6.9,1017,81,0,0.8,350,300,0,122,30,11,5.1
27,-3.3,-7.7,1017,84,0,1.7,364,314,326,126,53,15,6.7
28,-3.6,-7.6,1017,83,0,0.9,383,333,334,122,46,14,5.8
29,-4.4,-8.5,1016,85,0,0.6,355,305,0,108,48,13,4.7
30,-5,-9.6,1016,89,0,0.6,292,242,0,89,37,10,3.6
31,-5.5,-10.2,1016,89,0,0.6,283,233,0,87,29,10,3.9
32,-4.6,-9.5,1016,90,0,1,291,241,0,92,26,11,4.4
33,-3.1,-6.8,1017,88,0,0.1,279,229,0,85,26,9,3.8
34,-1.6,-4.9,1017,80,0,0.7,234,184,0,81,31,8,3.3
35,0.9,-1.4,1018,69,0,1.1,282,232,0,93,29,11,6.7
36,3.5,2.2,1017,57,0,1.6,283,233,241,106,41,11,6.7
37,5.2,5.1,1016,45,0,1,287,237,246,121,54,10,5.9
38,6.5,6.8,1015,41,0,0.9,287,237,246,126,53,10,5
39,7.3,7.5,1014,39,0,1.4,281,231,0,131,55,13,4
40,7.2,7.1,1014,42,0,1.8,282,232,0,142,53,17,3.8
41,6.1,5.9,1015,45,0,1.5,294,244,0,158,48,13,4.3
42,3.8,3.3,1015,48,0,1.3,304,254,0,173,46,11,5.2
43,2.8,1.8,1016,55,0,1.2,372,322,337,189,45,10,6.3
44,2.1,0.6,1016,60,0,1.3,346,296,301,172,36,10,5.9
45,-0.2,-2.9,1017,70,0,1.6,314,264,0,137,35,10,4.8
46,-1,-2.8,1017,74,0,0,355,305,314,143,43,13,5.8
47,-1.5,-5,1017,79,0,1.2,496,493,523,178,54,14,7.2
48,-0.8,-4.1,1017,75,0,2,500,532,0,172,41,12,6.6
49,-1.4,-4.8,1017,80,0,1,500,522,0,164,34,12,6.3
50,-1.8,-6.3,1017,86,0,2.1,500,558,560,164,42,14,6.4
51,-1.8,-6.1,1017,84,0,2.1,500,539,546,151,45,13,6.7
52,-2.2,-6.9,1018,86,0,2.4,496,493,0,133,23,10,6.5
53,-2.6,-8.1,1017,91,0,3.3,452,427,0,113,30,9,4.7
54,-3.5,-9.4,1018,95,0,2.7,269,219,0,75,31,6,3
